id,user_id,account_id,occurred_at,direction,amount,balance_after,counterparty_name,counterparty_bank,counterparty_account_hash,category,transaction_type,channel,memo,is_recurring,is_synthetic
txn-01-0012,demo-parent-01,1101234567,2025-09-13T16:32:00+09:00,OUT,18288,26173254,약국,한결카드,acct_508728b3,HEALTHCARE,CARD,DEBIT_CARD,의약품,false,true
txn-01-0013,demo-parent-01,1101234567,2025-09-17T09:00:00+09:00,OUT,183406,25989848,아파트 관리비,하나은행,acct_6719f578,HOUSING,AUTOPAY,AUTO_TRANSFER,관리비,true,true
txn-01-0014,demo-parent-01,1101234567,2025-09-17T09:50:00+09:00,OUT,2800,25987048,마을버스,한결카드,acct_0ebe40b5,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0015,demo-parent-01,1101234567,2025-09-17T16:10:00+09:00,OUT,62315,25924733,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0016,demo-parent-01,1101234567,2025-09-18T09:15:00+09:00,OUT,83796,25840937,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0017,demo-parent-01,1101234567,2025-09-19T12:01:00+09:00,OUT,88433,25752504,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0018,demo-parent-01,1101234567,2025-09-20T09:00:00+09:00,OUT,1000000,24752504,토스뱅크 정기적금,토스뱅크,acct_51a6895d,SAVINGS,AUTOPAY,AUTO_TRANSFER,정기적금,true,true
txn-01-0019,demo-parent-01,1101234567,2025-09-20T09:07:00+09:00,OUT,54560,24697944,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0020,demo-parent-01,1101234567,2025-09-22T09:00:00+09:00,OUT,50197,24647747,도시가스,한결은행,acct_863c5960,HOUSING,AUTOPAY,AUTO_TRANSFER,가스요금,true,true
txn-01-0021,demo-parent-01,1101234567,2025-09-25T09:00:00+09:00,OUT,53062,24594685,한국전력,한결은행,acct_a4e09594,HOUSING,AUTOPAY,AUTO_TRANSFER,전기요금,true,true
txn-01-0022,demo-parent-01,1101234567,2025-09-25T10:00:00+09:00,IN,1650000,26244685,한결시니어센터,기업은행,acct_1dfaa80b,INCOME,SALARY,ACCOUNT_CREDIT,급여,true,true
txn-01-0023,demo-parent-01,1101234567,2025-09-26T11:53:00+09:00,OUT,87009,26157676,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0024,demo-parent-01,1101234567,2025-09-26T16:28:00+09:00,OUT,45803,26111873,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0025,demo-parent-01,1101234567,2025-09-27T09:00:00+09:00,OUT,38500,26073373,한결통신,한결은행,acct_1f136b3d,HOUSING,AUTOPAY,AUTO_TRANSFER,통신비,true,true
txn-01-0026,demo-parent-01,1101234567,2025-09-27T11:04:00+09:00,OUT,41660,26031713,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0027,demo-parent-01,1101234567,2025-09-28T09:00:00+09:00,OUT,128000,25903713,안심생명,신한은행,acct_779478ee,INSURANCE,AUTOPAY,AUTO_TRANSFER,보험료,true,true
txn-01-0028,demo-parent-01,1101234567,2025-09-28T14:17:00+09:00,OUT,16926,25886787,카페,한결카드,acct_db28ec7d,DINING,CARD,DEBIT_CARD,외식,false,true
txn-01-0029,demo-parent-01,1101234567,2025-09-29T17:44:00+09:00,OUT,89923,25796864,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0030,demo-parent-01,1101234567,2025-09-30T16:29:00+09:00,OUT,1500,25795364,마을버스,한결카드,acct_0ebe40b5,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0031,demo-parent-01,1101234567,2025-10-02T16:14:00+09:00,OUT,3000,25792364,서울교통공사,한결카드,acct_59e12777,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0032,demo-parent-01,1101234567,2025-10-03T08:30:00+09:00,IN,1012000,26804364,국민연금공단,한결은행,acct_ec839ee0,INCOME,PENSION,ACCOUNT_CREDIT,국민연금,true,true
txn-01-0033,demo-parent-01,1101234567,2025-10-03T13:12:00+09:00,OUT,33921,26770443,약국,한결카드,acct_508728b3,HEALTHCARE,CARD,DEBIT_CARD,의약품,false,true
txn-01-0034,demo-parent-01,1101234567,2025-10-04T15:45:00+09:00,OUT,28829,26741614,동네식당,한결카드,acct_aca8f34e,DINING,CARD,DEBIT_CARD,외식,false,true
txn-01-0035,demo-parent-01,1101234567,2025-10-07T15:55:00+09:00,OUT,37209,26704405,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0036,demo-parent-01,1101234567,2025-10-10T11:49:00+09:00,OUT,9548,26694857,약국,한결카드,acct_508728b3,HEALTHCARE,CARD,DEBIT_CARD,의약품,false,true
txn-01-0037,demo-parent-01,1101234567,2025-10-10T13:07:00+09:00,OUT,500000,26194857,딸 지혜,국민은행,acct_485235bb,FAMILY,TRANSFER,MOBILE_TRANSFER,가족 생활비,true,true
txn-01-0038,demo-parent-01,1101234567,2025-10-14T12:25:00+09:00,OUT,25193,26169664,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0039,demo-parent-01,1101234567,2025-10-15T09:00:00+09:00,OUT,36537,26133127,상하수도사업본부,한결은행,acct_3a65fd9e,HOUSING,AUTOPAY,AUTO_TRANSFER,수도요금,true,true
txn-01-0040,demo-parent-01,1101234567,2025-10-17T09:00:00+09:00,OUT,195274,25937853,아파트 관리비,하나은행,acct_6719f578,HOUSING,AUTOPAY,AUTO_TRANSFER,관리비,true,true
txn-01-0041,demo-parent-01,1101234567,2025-10-18T09:36:00+09:00,OUT,30455,25907398,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0042,demo-parent-01,1101234567,2025-10-19T11:53:00+09:00,OUT,87754,25819644,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0043,demo-parent-01,1101234567,2025-10-20T09:00:00+09:00,OUT,1000000,24819644,토스뱅크 정기적금,토스뱅크,acct_51a6895d,SAVINGS,AUTOPAY,AUTO_TRANSFER,정기적금,true,true
txn-01-0044,demo-parent-01,1101234567,2025-10-21T11:44:00+09:00,OUT,57137,24762507,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0045,demo-parent-01,1101234567,2025-10-22T09:00:00+09:00,OUT,42528,24719979,도시가스,한결은행,acct_863c5960,HOUSING,AUTOPAY,AUTO_TRANSFER,가스요금,true,true
txn-01-0046,demo-parent-01,1101234567,2025-10-23T12:43:00+09:00,OUT,74275,24645704,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0047,demo-parent-01,1101234567,2025-10-24T15:34:00+09:00,OUT,61927,24583777,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0048,demo-parent-01,1101234567,2025-10-24T16:28:00+09:00,OUT,1500,24582277,한결교통,한결카드,acct_9fb1bf66,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0049,demo-parent-01,1101234567,2025-10-25T09:00:00+09:00,OUT,58091,24524186,한국전력,한결은행,acct_a4e09594,HOUSING,AUTOPAY,AUTO_TRANSFER,전기요금,true,true
txn-01-0050,demo-parent-01,1101234567,2025-10-25T10:00:00+09:00,IN,1650000,26174186,한결시니어센터,기업은행,acct_1dfaa80b,INCOME,SALARY,ACCOUNT_CREDIT,급여,true,true
txn-01-0051,demo-parent-01,1101234567,2025-10-25T12:28:00+09:00,OUT,19165,26155021,약국,한결카드,acct_508728b3,HEALTHCARE,CARD,DEBIT_CARD,의약품,false,true
txn-01-0052,demo-parent-01,1101234567,2025-10-25T16:20:00+09:00,OUT,68475,26086546,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0053,demo-parent-01,1101234567,2025-10-25T18:05:00+09:00,OUT,2800,26083746,마을버스,한결카드,acct_0ebe40b5,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0054,demo-parent-01,1101234567,2025-10-27T09:00:00+09:00,OUT,38500,26045246,한결통신,한결은행,acct_1f136b3d,HOUSING,AUTOPAY,AUTO_TRANSFER,통신비,true,true
txn-01-0055,demo-parent-01,1101234567,2025-10-27T13:28:00+09:00,OUT,20659,26024587,한결분식,한결카드,acct_6fa96832,DINING,CARD,DEBIT_CARD,외식,false,true
txn-01-0056,demo-parent-01,1101234567,2025-10-27T16:33:00+09:00,OUT,83779,25940808,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0057,demo-parent-01,1101234567,2025-10-28T09:00:00+09:00,OUT,128000,25812808,안심생명,신한은행,acct_779478ee,INSURANCE,AUTOPAY,AUTO_TRANSFER,보험료,true,true
txn-01-0058,demo-parent-01,1101234567,2025-10-28T10:05:00+09:00,OUT,63931,25748877,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0059,demo-parent-01,1101234567,2025-10-29T09:08:00+09:00,OUT,2800,25746077,마을버스,한결카드,acct_0ebe40b5,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0060,demo-parent-01,1101234567,2025-10-31T10:58:00+09:00,OUT,82464,25663613,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0061,demo-parent-01,1101234567,2025-10-31T15:09:00+09:00,OUT,75578,25588035,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0062,demo-parent-01,1101234567,2025-11-02T14:27:00+09:00,OUT,26332,25561703,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0063,demo-parent-01,1101234567,2025-11-03T08:30:00+09:00,IN,1012000,26573703,국민연금공단,한결은행,acct_ec839ee0,INCOME,PENSION,ACCOUNT_CREDIT,국민연금,true,true
txn-01-0064,demo-parent-01,1101234567,2025-11-05T10:55:00+09:00,OUT,30737,26542966,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0065,demo-parent-01,1101234567,2025-11-06T16:53:00+09:00,OUT,70190,26472776,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0066,demo-parent-01,1101234567,2025-11-07T12:36:00+09:00,OUT,19925,26452851,약국,한결카드,acct_508728b3,HEALTHCARE,CARD,DEBIT_CARD,의약품,false,true
txn-01-0067,demo-parent-01,1101234567,2025-11-10T13:07:00+09:00,OUT,500000,25952851,딸 지혜,국민은행,acct_485235bb,FAMILY,TRANSFER,MOBILE_TRANSFER,가족 생활비,true,true
txn-01-0068,demo-parent-01,1101234567,2025-11-11T09:12:00+09:00,OUT,1500,25951351,서울교통공사,한결카드,acct_59e12777,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0069,demo-parent-01,1101234567,2025-11-12T13:27:00+09:00,OUT,65485,25885866,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0070,demo-parent-01,1101234567,2025-11-13T10:59:00+09:00,OUT,1400,25884466,서울교통공사,한결카드,acct_59e12777,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0071,demo-parent-01,1101234567,2025-11-13T11:29:00+09:00,OUT,41940,25842526,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0072,demo-parent-01,1101234567,2025-11-14T11:20:00+09:00,OUT,81864,25760662,한결정형외과,한결카드,acct_f7742d73,HEALTHCARE,CARD,DEBIT_CARD,진료비,false,true
txn-01-0073,demo-parent-01,1101234567,2025-11-14T14:54:00+09:00,OUT,26253,25734409,한결분식,한결카드,acct_6fa96832,DINING,CARD,DEBIT_CARD,외식,false,true
txn-01-0074,demo-parent-01,1101234567,2025-11-14T17:55:00+09:00,OUT,52379,25682030,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0075,demo-parent-01,1101234567,2025-11-15T15:55:00+09:00,OUT,49583,25632447,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0076,demo-parent-01,1101234567,2025-11-16T14:29:00+09:00,OUT,36570,25595877,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0077,demo-parent-01,1101234567,2025-11-16T19:11:00+09:00,OUT,26754,25569123,동네식당,한결카드,acct_aca8f34e,DINING,CARD,DEBIT_CARD,외식,false,true
txn-01-0078,demo-parent-01,1101234567,2025-11-17T09:00:00+09:00,OUT,177354,25391769,아파트 관리비,하나은행,acct_6719f578,HOUSING,AUTOPAY,AUTO_TRANSFER,관리비,true,true
txn-01-0079,demo-parent-01,1101234567,2025-11-18T09:03:00+09:00,OUT,81696,25310073,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0080,demo-parent-01,1101234567,2025-11-18T11:39:00+09:00,OUT,1400,25308673,한결교통,한결카드,acct_9fb1bf66,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0081,demo-parent-01,1101234567,2025-11-18T12:32:00+09:00,OUT,28095,25280578,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0082,demo-parent-01,1101234567,2025-11-18T14:03:00+09:00,OUT,79936,25200642,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0083,demo-parent-01,1101234567,2025-11-20T09:00:00+09:00,OUT,1000000,24200642,토스뱅크 정기적금,토스뱅크,acct_51a6895d,SAVINGS,AUTOPAY,AUTO_TRANSFER,정기적금,true,true
txn-01-0084,demo-parent-01,1101234567,2025-11-20T09:55:00+09:00,OUT,91963,24108679,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0085,demo-parent-01,1101234567,2025-11-20T14:15:00+09:00,OUT,29740,24078939,약국,한결카드,acct_508728b3,HEALTHCARE,CARD,DEBIT_CARD,의약품,false,true
txn-01-0086,demo-parent-01,1101234567,2025-11-21T10:29:00+09:00,OUT,41601,24037338,약국,한결카드,acct_508728b3,HEALTHCARE,CARD,DEBIT_CARD,의약품,false,true
txn-01-0087,demo-parent-01,1101234567,2025-11-22T09:00:00+09:00,OUT,104083,23933255,도시가스,한결은행,acct_863c5960,HOUSING,AUTOPAY,AUTO_TRANSFER,가스요금,true,true
txn-01-0088,demo-parent-01,1101234567,2025-11-25T09:00:00+09:00,OUT,51095,23882160,한국전력,한결은행,acct_a4e09594,HOUSING,AUTOPAY,AUTO_TRANSFER,전기요금,true,true
txn-01-0089,demo-parent-01,1101234567,2025-11-25T10:00:00+09:00,IN,1650000,25532160,한결시니어센터,기업은행,acct_1dfaa80b,INCOME,SALARY,ACCOUNT_CREDIT,급여,true,true
txn-01-0090,demo-parent-01,1101234567,2025-11-27T09:00:00+09:00,OUT,38500,25493660,한결통신,한결은행,acct_1f136b3d,HOUSING,AUTOPAY,AUTO_TRANSFER,통신비,true,true
txn-01-0091,demo-parent-01,1101234567,2025-11-27T14:23:00+09:00,OUT,1500,25492160,서울교통공사,한결카드,acct_59e12777,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0092,demo-parent-01,1101234567,2025-11-28T09:00:00+09:00,OUT,128000,25364160,안심생명,신한은행,acct_779478ee,INSURANCE,AUTOPAY,AUTO_TRANSFER,보험료,true,true
txn-01-0093,demo-parent-01,1101234567,2025-12-02T14:10:00+09:00,OUT,61199,25302961,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0094,demo-parent-01,1101234567,2025-12-03T08:30:00+09:00,IN,1012000,26314961,국민연금공단,한결은행,acct_ec839ee0,INCOME,PENSION,ACCOUNT_CREDIT,국민연금,true,true
txn-01-0095,demo-parent-01,1101234567,2025-12-04T09:15:00+09:00,OUT,5000,26309961,서울교통공사,한결카드,acct_59e12777,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0096,demo-parent-01,1101234567,2025-12-07T10:40:00+09:00,OUT,86650,26223311,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0097,demo-parent-01,1101234567,2025-12-09T15:42:00+09:00,OUT,16184,26207127,동네식당,한결카드,acct_aca8f34e,DINING,CARD,DEBIT_CARD,외식,false,true
txn-01-0098,demo-parent-01,1101234567,2025-12-10T13:07:00+09:00,OUT,500000,25707127,딸 지혜,국민은행,acct_485235bb,FAMILY,TRANSFER,MOBILE_TRANSFER,가족 생활비,true,true
txn-01-0099,demo-parent-01,1101234567,2025-12-12T12:57:00+09:00,OUT,23545,25683582,약국,한결카드,acct_508728b3,HEALTHCARE,CARD,DEBIT_CARD,의약품,false,true
txn-01-0100,demo-parent-01,1101234567,2025-12-12T14:31:00+09:00,OUT,9229,25674353,약국,한결카드,acct_508728b3,HEALTHCARE,CARD,DEBIT_CARD,의약품,false,true
txn-01-0101,demo-parent-01,1101234567,2025-12-12T14:35:00+09:00,OUT,2380000,23294353,한결가전,한결카드,acct_2ef215d9,HOUSEHOLD,CARD,DEBIT_CARD,냉장고 구입,false,true
txn-01-0102,demo-parent-01,1101234567,2025-12-14T15:33:00+09:00,OUT,80669,23213684,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0103,demo-parent-01,1101234567,2025-12-15T15:05:00+09:00,OUT,1500,23212184,마을버스,한결카드,acct_0ebe40b5,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0104,demo-parent-01,1101234567,2025-12-17T09:00:00+09:00,OUT,179099,23033085,아파트 관리비,하나은행,acct_6719f578,HOUSING,AUTOPAY,AUTO_TRANSFER,관리비,true,true
txn-01-0105,demo-parent-01,1101234567,2025-12-17T14:12:00+09:00,OUT,75352,22957733,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0106,demo-parent-01,1101234567,2025-12-18T10:53:00+09:00,OUT,46889,22910844,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0107,demo-parent-01,1101234567,2025-12-20T09:00:00+09:00,OUT,1000000,21910844,토스뱅크 정기적금,토스뱅크,acct_51a6895d,SAVINGS,AUTOPAY,AUTO_TRANSFER,정기적금,true,true
txn-01-0108,demo-parent-01,1101234567,2025-12-20T15:28:00+09:00,OUT,1500,21909344,한결교통,한결카드,acct_9fb1bf66,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0109,demo-parent-01,1101234567,2025-12-22T09:00:00+09:00,OUT,112721,21796623,도시가스,한결은행,acct_863c5960,HOUSING,AUTOPAY,AUTO_TRANSFER,가스요금,true,true
txn-01-0110,demo-parent-01,1101234567,2025-12-22T11:47:00+09:00,OUT,15524,21781099,한결분식,한결카드,acct_6fa96832,DINING,CARD,DEBIT_CARD,외식,false,true
txn-01-0111,demo-parent-01,1101234567,2025-12-22T16:03:00+09:00,OUT,31877,21749222,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0112,demo-parent-01,1101234567,2025-12-25T09:00:00+09:00,OUT,65719,21683503,한국전력,한결은행,acct_a4e09594,HOUSING,AUTOPAY,AUTO_TRANSFER,전기요금,true,true
txn-01-0113,demo-parent-01,1101234567,2025-12-25T10:00:00+09:00,IN,1650000,23333503,한결시니어센터,기업은행,acct_1dfaa80b,INCOME,SALARY,ACCOUNT_CREDIT,급여,true,true
txn-01-0114,demo-parent-01,1101234567,2025-12-25T11:05:00+09:00,OUT,27952,23305551,약국,한결카드,acct_508728b3,HEALTHCARE,CARD,DEBIT_CARD,의약품,false,true
txn-01-0115,demo-parent-01,1101234567,2025-12-26T17:12:00+09:00,OUT,5000,23300551,마을버스,한결카드,acct_0ebe40b5,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0116,demo-parent-01,1101234567,2025-12-27T09:00:00+09:00,OUT,38500,23262051,한결통신,한결은행,acct_1f136b3d,HOUSING,AUTOPAY,AUTO_TRANSFER,통신비,true,true
txn-01-0117,demo-parent-01,1101234567,2025-12-27T11:49:00+09:00,OUT,19827,23242224,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0118,demo-parent-01,1101234567,2025-12-27T14:57:00+09:00,OUT,39630,23202594,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0119,demo-parent-01,1101234567,2025-12-28T09:00:00+09:00,OUT,128000,23074594,안심생명,신한은행,acct_779478ee,INSURANCE,AUTOPAY,AUTO_TRANSFER,보험료,true,true
txn-01-0120,demo-parent-01,1101234567,2025-12-29T09:39:00+09:00,OUT,39326,23035268,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0121,demo-parent-01,1101234567,2025-12-29T10:41:00+09:00,OUT,58120,22977148,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0122,demo-parent-01,1101234567,2025-12-29T16:18:00+09:00,OUT,38463,22938685,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0123,demo-parent-01,1101234567,2025-12-31T12:00:00+09:00,OUT,72742,22865943,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0124,demo-parent-01,1101234567,2026-01-01T09:19:00+09:00,OUT,24178,22841765,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0125,demo-parent-01,1101234567,2026-01-01T14:36:00+09:00,OUT,65177,22776588,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0126,demo-parent-01,1101234567,2026-01-02T10:39:00+09:00,OUT,89404,22687184,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0127,demo-parent-01,1101234567,2026-01-03T08:30:00+09:00,IN,1012000,23699184,국민연금공단,한결은행,acct_ec839ee0,INCOME,PENSION,ACCOUNT_CREDIT,국민연금,true,true
txn-01-0128,demo-parent-01,1101234567,2026-01-07T14:26:00+09:00,OUT,1400,23697784,한결교통,한결카드,acct_9fb1bf66,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0129,demo-parent-01,1101234567,2026-01-09T13:29:00+09:00,OUT,22144,23675640,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0130,demo-parent-01,1101234567,2026-01-10T13:07:00+09:00,OUT,700000,22975640,딸 지혜,국민은행,acct_485235bb,FAMILY,TRANSFER,MOBILE_TRANSFER,가족 생활비,true,true
txn-01-0131,demo-parent-01,1101234567,2026-01-10T16:22:00+09:00,OUT,70713,22904927,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0132,demo-parent-01,1101234567,2026-01-10T18:44:00+09:00,OUT,12787,22892140,한결분식,한결카드,acct_6fa96832,DINING,CARD,DEBIT_CARD,외식,false,true
txn-01-0133,demo-parent-01,1101234567,2026-01-13T11:43:00+09:00,OUT,33554,22858586,약국,한결카드,acct_508728b3,HEALTHCARE,CARD,DEBIT_CARD,의약품,false,true
txn-01-0134,demo-parent-01,1101234567,2026-01-13T17:20:00+09:00,OUT,73781,22784805,하나로마트,한결카드,acct_46d164ef,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0135,demo-parent-01,1101234567,2026-01-14T13:44:00+09:00,OUT,5000,22779805,한결교통,한결카드,acct_9fb1bf66,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0136,demo-parent-01,1101234567,2026-01-15T09:00:00+09:00,OUT,35845,22743960,상하수도사업본부,한결은행,acct_3a65fd9e,HOUSING,AUTOPAY,AUTO_TRANSFER,수도요금,true,true
txn-01-0137,demo-parent-01,1101234567,2026-01-16T12:04:00+09:00,OUT,28057,22715903,카페,한결카드,acct_db28ec7d,DINING,CARD,DEBIT_CARD,외식,false,true
txn-01-0138,demo-parent-01,1101234567,2026-01-17T09:00:00+09:00,OUT,186487,22529416,아파트 관리비,하나은행,acct_6719f578,HOUSING,AUTOPAY,AUTO_TRANSFER,관리비,true,true
